,awayTeam,group,homeTeam,id,lastUpdated,matchday,referees,score,season,stage,status,utcDate
10,"{'id': 67, 'name': 'Newcastle United FC'}",Regular Season,"{'id': 715, 'name': 'Cardiff City FC'}",233039,2018-07-07T16:01:35Z,2,[],"{'winner': None, 'duration': 'REGULAR', 'fullTime': {'homeTeam': None, 'awayTeam': None}, 'halfTime': {'homeTeam': None, 'awayTeam': None}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 151, 'startDate': '2018-08-10', 'endDate': '2019-05-12', 'currentMatchday': None}",REGULAR_SEASON,SCHEDULED,2018-08-18T11:30:00Z
11,"{'id': 63, 'name': 'Fulham FC'}",Regular Season,"{'id': 73, 'name': 'Tottenham Hotspur FC'}",233035,2018-07-07T16:01:35Z,2,[],"{'winner': None, 'duration': 'REGULAR', 'fullTime': {'homeTeam': None, 'awayTeam': None}, 'halfTime': {'homeTeam': None, 'awayTeam': None}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 151, 'startDate': '2018-08-10', 'endDate': '2019-05-12', 'currentMatchday': None}",REGULAR_SEASON,SCHEDULED,2018-08-18T14:00:00Z
12,"{'id': 340, 'name': 'Southampton FC'}",Regular Season,"{'id': 62, 'name': 'Everton FC'}",233036,2018-07-07T16:01:35Z,2,[],"{'winner': None, 'duration': 'REGULAR', 'fullTime': {'homeTeam': None, 'awayTeam': None}, 'halfTime': {'homeTeam': None, 'awayTeam': None}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 151, 'startDate': '2018-08-10', 'endDate': '2019-05-12', 'currentMatchday': None}",REGULAR_SEASON,SCHEDULED,2018-08-18T14:00:00Z
13,"{'id': 76, 'name': 'Wolverhampton Wanderers FC'}",Regular Season,"{'id': 338, 'name': 'Leicester City FC'}",233037,2018-07-07T16:01:35Z,2,[],"{'winner': None, 'duration': 'REGULAR', 'fullTime': {'homeTeam': None, 'awayTeam': None}, 'halfTime': {'homeTeam': None, 'awayTeam': None}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 151, 'startDate': '2018-08-10', 'endDate': '2019-05-12', 'currentMatchday': None}",REGULAR_SEASON,SCHEDULED,2018-08-18T14:00:00Z
14,"{'id': 346, 'name': 'Watford FC'}",Regular Season,"{'id': 328, 'name': 'Burnley FC'}",233038,2018-07-07T16:01:35Z,2,[],"{'winner': None, 'duration': 'REGULAR', 'fullTime': {'homeTeam': None, 'awayTeam': None}, 'halfTime': {'homeTeam': None, 'awayTeam': None}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 151, 'startDate': '2018-08-10', 'endDate': '2019-05-12', 'currentMatchday': None}",REGULAR_SEASON,SCHEDULED,2018-08-18T14:00:00Z
15,"{'id': 1044, 'name': 'AFC Bournemouth'}",Regular Season,"{'id': 563, 'name': 'West Ham United FC'}",233040,2018-07-07T16:01:35Z,2,[],"{'winner': None, 'duration': 'REGULAR', 'fullTime': {'homeTeam': None, 'awayTeam': None}, 'halfTime': {'homeTeam': None, 'awayTeam': None}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 151, 'startDate': '2018-08-10', 'endDate': '2019-05-12', 'currentMatchday': None}",REGULAR_SEASON,SCHEDULED,2018-08-18T14:00:00Z
16,"{'id': 57, 'name': 'Arsenal FC'}",Regular Season,"{'id': 61, 'name': 'Chelsea FC'}",233034,2018-07-07T16:01:35Z,2,[],"{'winner': None, 'duration': 'REGULAR', 'fullTime': {'homeTeam': None, 'awayTeam': None}, 'halfTime': {'homeTeam': None, 'awayTeam': None}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 151, 'startDate': '2018-08-10', 'endDate': '2019-05-12', 'currentMatchday': None}",REGULAR_SEASON,SCHEDULED,2018-08-18T16:30:00Z
17,"{'id': 394, 'name': 'Huddersfield Town AFC'}",Regular Season,"{'id': 65, 'name': 'Manchester City FC'}",233033,2018-07-07T16:01:35Z,2,[],"{'winner': None, 'duration': 'REGULAR', 'fullTime': {'homeTeam': None, 'awayTeam': None}, 'halfTime': {'homeTeam': None, 'awayTeam': None}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 151, 'startDate': '2018-08-10', 'endDate': '2019-05-12', 'currentMatchday': None}",REGULAR_SEASON,SCHEDULED,2018-08-19T12:30:00Z
18,"{'id': 66, 'name': 'Manchester United FC'}",Regular Season,"{'id': 397, 'name': 'Brighton & Hove Albion FC'}",233042,2018-07-07T16:01:35Z,2,[],"{'winner': None, 'duration': 'REGULAR', 'fullTime': {'homeTeam': None, 'awayTeam': None}, 'halfTime': {'homeTeam': None, 'awayTeam': None}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 151, 'startDate': '2018-08-10', 'endDate': '2019-05-12', 'currentMatchday': None}",REGULAR_SEASON,SCHEDULED,2018-08-19T15:00:00Z
19,"{'id': 64, 'name': 'Liverpool FC'}",Regular Season,"{'id': 354, 'name': 'Crystal Palace FC'}",233041,2018-07-07T16:01:35Z,2,[],"{'winner': None, 'duration': 'REGULAR', 'fullTime': {'homeTeam': None, 'awayTeam': None}, 'halfTime': {'homeTeam': None, 'awayTeam': None}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 151, 'startDate': '2018-08-10', 'endDate': '2019-05-12', 'currentMatchday': None}",REGULAR_SEASON,SCHEDULED,2018-08-20T19:00:00Z
20,"{'id': 65, 'name': 'Manchester City FC'}",Regular Season,"{'id': 76, 'name': 'Wolverhampton Wanderers FC'}",233043,2018-07-07T16:01:35Z,3,[],"{'winner': None, 'duration': 'REGULAR', 'fullTime': {'homeTeam': None, 'awayTeam': None}, 'halfTime': {'homeTeam': None, 'awayTeam': None}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 151, 'startDate': '2018-08-10', 'endDate': '2019-05-12', 'currentMatchday': None}",REGULAR_SEASON,SCHEDULED,2018-08-25T11:30:00Z
21,"{'id': 328, 'name': 'Burnley FC'}",Regular Season,"{'id': 63, 'name': 'Fulham FC'}",233044,2018-07-07T16:01:35Z,3,[],"{'winner': None, 'duration': 'REGULAR', 'fullTime': {'homeTeam': None, 'awayTeam': None}, 'halfTime': {'homeTeam': None, 'awayTeam': None}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 151, 'startDate': '2018-08-10', 'endDate': '2019-05-12', 'currentMatchday': None}",REGULAR_SEASON,SCHEDULED,2018-08-25T14:00:00Z
22,"{'id': 563, 'name': 'West Ham United FC'}",Regular Season,"{'id': 57, 'name': 'Arsenal FC'}",233047,2018-07-07T16:01:35Z,3,[],"{'winner': None, 'duration': 'REGULAR', 'fullTime': {'homeTeam': None, 'awayTeam': None}, 'halfTime': {'homeTeam': None, 'awayTeam': None}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 151, 'startDate': '2018-08-10', 'endDate': '2019-05-12', 'currentMatchday': None}",REGULAR_SEASON,SCHEDULED,2018-08-25T14:00:00Z
23,"{'id': 715, 'name': 'Cardiff City FC'}",Regular Season,"{'id': 394, 'name': 'Huddersfield Town AFC'}",233049,2018-07-07T16:01:35Z,3,[],"{'winner': None, 'duration': 'REGULAR', 'fullTime': {'homeTeam': None, 'awayTeam': None}, 'halfTime': {'homeTeam': None, 'awayTeam': None}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 151, 'startDate': '2018-08-10', 'endDate': '2019-05-12', 'currentMatchday': None}",REGULAR_SEASON,SCHEDULED,2018-08-25T14:00:00Z
24,"{'id': 338, 'name': 'Leicester City FC'}",Regular Season,"{'id': 340, 'name': 'Southampton FC'}",233050,2018-07-07T16:01:35Z,3,[],"{'winner': None, 'duration': 'REGULAR', 'fullTime': {'homeTeam': None, 'awayTeam': None}, 'halfTime': {'homeTeam': None, 'awayTeam': None}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 151, 'startDate': '2018-08-10', 'endDate': '2019-05-12', 'currentMatchday': None}",REGULAR_SEASON,SCHEDULED,2018-08-25T14:00:00Z
