matchday,homeTeam,awayTeam,homeScore,awayScore,winner
13,Crystal Palace,Stoke,2,1,HOME_TEAM
13,Liverpool,Chelsea,1,1,DRAW
13,Southampton,Everton,4,1,HOME_TEAM
13,Burnley,Arsenal,0,1,AWAY_TEAM
13,Huddersfield,Man City,1,2,AWAY_TEAM
14,Leicester,Spurs,2,1,HOME_TEAM
14,Brighton,Crystal Palace,0,0,DRAW
14,West Brom,Newcastle,2,2,DRAW
14,Watford,Man Utd,2,4,AWAY_TEAM
14,Arsenal,Huddersfield,5,0,HOME_TEAM
14,Chelsea,Swansea,1,0,HOME_TEAM
14,Bournemouth,Burnley,1,2,AWAY_TEAM
14,Man City,Southampton,2,1,HOME_TEAM
14,Stoke,Liverpool,0,3,AWAY_TEAM
14,Everton,West Ham,4,0,HOME_TEAM
15,Chelsea,Newcastle,3,1,HOME_TEAM
15,Stoke,Swansea,2,1,HOME_TEAM
15,Everton,Huddersfield,2,0,HOME_TEAM
15,West Brom,Crystal Palace,0,0,DRAW
15,Leicester,Burnley,1,0,HOME_TEAM
15,Brighton,Liverpool,1,5,AWAY_TEAM
15,Watford,Spurs,1,1,DRAW
15,Arsenal,Man Utd,1,3,AWAY_TEAM
15,Bournemouth,Southampton,1,1,DRAW
15,Man City,West Ham,2,1,HOME_TEAM
16,West Ham,Chelsea,1,0,HOME_TEAM
16,Swansea,West Brom,1,0,HOME_TEAM
16,Spurs,Stoke,5,1,HOME_TEAM
16,Burnley,Watford,1,0,HOME_TEAM
16,Huddersfield,Brighton,2,0,HOME_TEAM
16,Crystal Palace,Bournemouth,2,2,DRAW
16,Newcastle,Leicester,2,3,AWAY_TEAM
16,Southampton,Arsenal,1,1,DRAW
16,Liverpool,Everton,1,1,DRAW
16,Man Utd,Man City,1,2,AWAY_TEAM
17,Burnley,Stoke,1,0,HOME_TEAM
17,Huddersfield,Chelsea,1,3,AWAY_TEAM
17,Crystal Palace,Watford,2,1,HOME_TEAM
17,Swansea,Man City,0,4,AWAY_TEAM
17,Newcastle,Everton,0,1,AWAY_TEAM
17,Southampton,Leicester,1,4,AWAY_TEAM
17,Liverpool,West Brom,0,0,DRAW
17,Spurs,Brighton,2,0,HOME_TEAM
17,Man Utd,Bournemouth,1,0,HOME_TEAM
17,West Ham,Arsenal,0,0,DRAW
18,Leicester,Crystal Palace,0,3,AWAY_TEAM
18,Arsenal,Newcastle,1,0,HOME_TEAM
18,Chelsea,Southampton,1,0,HOME_TEAM
18,Brighton,Burnley,0,0,DRAW
18,Watford,Huddersfield,1,4,AWAY_TEAM
18,Stoke,West Ham,0,3,AWAY_TEAM
18,Man City,Spurs,4,1,HOME_TEAM
18,West Brom,Man Utd,1,2,AWAY_TEAM
18,Bournemouth,Liverpool,0,4,AWAY_TEAM
18,Everton,Swansea,3,1,HOME_TEAM
19,Arsenal,Liverpool,3,3,DRAW
19,Everton,Chelsea,0,0,DRAW
19,Man City,Bournemouth,4,0,HOME_TEAM
19,Swansea,Crystal Palace,1,1,DRAW
19,Stoke,West Brom,3,1,HOME_TEAM
19,West Ham,Newcastle,2,3,AWAY_TEAM
19,Southampton,Huddersfield,1,1,DRAW
19,Brighton,Watford,1,0,HOME_TEAM
19,Burnley,Spurs,0,3,AWAY_TEAM
19,Leicester,Man Utd,2,2,DRAW
20,Spurs,Southampton,5,2,HOME_TEAM
20,Chelsea,Brighton,2,0,HOME_TEAM
20,West Brom,Everton,0,0,DRAW
20,Man Utd,Burnley,2,2,DRAW
20,Huddersfield,Stoke,1,1,DRAW
20,Watford,Leicester,2,1,HOME_TEAM
20,Bournemouth,West Ham,3,3,DRAW
20,Liverpool,Swansea,5,0,HOME_TEAM
20,Newcastle,Man City,0,1,AWAY_TEAM
20,Crystal Palace,Arsenal,2,3,AWAY_TEAM
21,Liverpool,Leicester,2,1,HOME_TEAM
21,Newcastle,Brighton,0,0,DRAW
21,Chelsea,Stoke,5,0,HOME_TEAM
21,Huddersfield,Burnley,0,0,DRAW
21,Watford,Swansea,1,2,AWAY_TEAM
21,Bournemouth,Everton,2,1,HOME_TEAM
21,Man Utd,Southampton,0,0,DRAW
21,Crystal Palace,Man City,0,0,DRAW
21,West Brom,Arsenal,1,1,DRAW
22,Brighton,Bournemouth,2,2,DRAW
22,Stoke,Newcastle,0,1,AWAY_TEAM
22,Leicester,Huddersfield,3,0,HOME_TEAM
22,Burnley,Liverpool,1,2,AWAY_TEAM
22,Everton,Man Utd,0,2,AWAY_TEAM
22,Swansea,Spurs,0,2,AWAY_TEAM
22,West Ham,West Brom,2,1,HOME_TEAM
22,Southampton,Crystal Palace,1,2,AWAY_TEAM
22,Man City,Watford,3,1,HOME_TEAM
22,Arsenal,Chelsea,2,2,DRAW
21,Spurs,West Ham,1,1,DRAW
23,Newcastle,Swansea,1,1,DRAW
23,Chelsea,Leicester,0,0,DRAW
23,West Brom,Brighton,2,0,HOME_TEAM
23,Huddersfield,West Ham,1,4,AWAY_TEAM
